"","lag","estimate","lower","upper","p.value","dataset","p.value.cat"
"1",0,0.282814031490684,0.0107428460938919,0.515897370806851,0.0422036900902028,"fktp","sig"
"2",1,0.117744944960989,-0.163132132872406,0.380966783308139,0.410571072819712,"fktp","no sig"
"3",2,0.333610306605948,0.0609195579901034,0.559960297931416,0.0179046271694627,"fktp","sig"
"4",3,0.180476209996225,-0.106105136394807,0.439374833027468,0.214627889826246,"fktp","no sig"
"5",4,0.0225600816541986,-0.263262153700694,0.304741356577576,0.879029140734563,"fktp","no sig"
"6",5,0.127952591181882,-0.165287501010797,0.400406954704766,0.391384765154734,"fktp","no sig"
"7",6,0.235362512347535,-0.0589642826826095,0.492041672845765,0.115352173060968,"fktp","no sig"
"8",7,0.0262387350929882,-0.269369852202394,0.317328595262271,0.864152170560363,"fktp","no sig"
"9",8,-0.085465017901754,-0.372884239073803,0.216919219289057,0.581221560411462,"fktp","no sig"
"10",0,0.336986588480379,0.0705767744572445,0.558523035787863,0.0145700393620602,"fkrtl","sig"
"11",1,0.174890638139582,-0.105791884854951,0.429761111189491,0.219637598804934,"fkrtl","no sig"
"12",2,0.384573043241869,0.118959329626043,0.598820051839342,0.0058247695642658,"fkrtl","sig"
"13",3,0.281594852161192,0.000432514557124765,0.521497439566294,0.0499789467612468,"fkrtl","sig"
"14",4,0.13686764669909,-0.153225827224578,0.405242914891365,0.353601172976264,"fkrtl","no sig"
"15",5,0.10429656924815,-0.188516405471511,0.380079795902501,0.485381249223358,"fkrtl","no sig"
"16",6,0.20305586903153,-0.092706945564487,0.465891156790798,0.175915302081774,"fkrtl","no sig"
"17",7,0.0402599767270757,-0.256302837084963,0.329895295358025,0.792875337496186,"fkrtl","no sig"
"18",8,-0.0780553834304789,-0.366444104005512,0.224016137964107,0.614525001236316,"fkrtl","no sig"
